Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Screen,Situation,Origin,Oddman,G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,ShooterPlayerId,A1PlayerId,A2PlayerId,A3PlayerId
1,0:03,5v5,EDM,25.0,w,55.0,,,opl,,,,,,f,oz,,,1,0,20116,10/27/2022,CHI,EDM,8476495,8474218.0,,
2,19:42,5v5,EDM,97.0,w,2.0,,,nr,,,y,y,,r,nz,,y,1,0,20116,10/27/2022,CHI,EDM,8478402,8477384.0,,
2,18:27,5v4,CHI,19.0,t,13.0,88.0,4.0,orrl,orrr,oc,y,y,,,,,y,0,0,20116,10/27/2022,CHI,EDM,8473604,8470666.0,8474141.0,8477495.0
2,18:13,5v5,EDM,22.0,s,13.0,,,opr,,,,y,,,,,,1,0,20116,10/27/2022,CHI,EDM,8474048,8473911.0,,
2,18:08,5v5,EDM,37.0,o,13.0,71.0,,oelc,ol,,y,y,,f,oz,,,1,0,20116,10/27/2022,CHI,EDM,8471402,8473911.0,8480802.0,
2,17:55,5v5,EDM,22.0,w,80.0,71.0,,ol,opl,,,y,,f,oz,,,1,0,20116,10/27/2022,CHI,EDM,8474048,8479338.0,8480802.0,
2,16:51,5v4,CHI,88.0,w,13.0,,,orrl,,,y,y,,r,nz,,,1,0,20116,10/27/2022,CHI,EDM,8474141,8470666.0,,
2,15:07,5v4,EDM,25.0,b,97.0,,,or,,,,y,,,,,,1,0,20116,10/27/2022,CHI,EDM,8476495,8478402.0,,
2,14:44,5v4,EDM,22.0,w,97.0,22.0,29.0,opl,oc,opr,,,,,,,,1,0,20116,10/27/2022,CHI,EDM,8474048,8478402.0,8474048.0,8476886.0
2,14:32,5v4,EDM,29.0,o,22.0,97.0,,oc,opl,,,,,,,,,1,0,20116,10/27/2022,CHI,EDM,8476886,8474048.0,8478402.0,
2,13:59,5v4,CHI,4.0,W,88.0,,,orrl,,,y,y,,r,nz,2 on 1,,1,0,20116,10/27/2022,CHI,EDM,8477495,8474141.0,,
2,13:51,5v4,CHI,4.0,s,88.0,19.0,,opr,ol,,,y,,,,,,1,0,20116,10/27/2022,CHI,EDM,8477495,8474141.0,8473604.0,
2,13:09,4v5,EDM,25.0,w,71.0,,,ol,,,y,y,,r,,,,1,0,20116,10/27/2022,CHI,EDM,8476495,8480802.0,,
2,11:32,5v4,EDM,97.0,o,29.0,,,orrr,,,y,y,,,,,y,1,0,20116,10/27/2022,CHI,EDM,8478402,8476886.0,,
2,8:33,5v5,CHI,52.0,w,43.0,25.0,5.0,oc,dl,dr,,y,,r,nz,,,0,0,20116,10/27/2022,CHI,EDM,8471736,8477300.0,8477836.0,8468927.0
2,8:33,5v5,CHI,43.0,r,,,,,,,y,y,,r,nz,,,0,0,20116,10/27/2022,CHI,EDM,8477300,,,
2,8:26,5v5,CHI,25.0,w,43.0,,,ol,,,,,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8477836,8477300.0,,
2,8:07,5v4,CHI,88.0,o,4.0,13.0,,oc,opl,,,,,,,,,0,0,20116,10/27/2022,CHI,EDM,8474141,8477495.0,8470666.0,
2,8:03,5v4,CHI,88.0,w,13.0,,,orrl,,,,,,,,,,0,0,20116,10/27/2022,CHI,EDM,8474141,8470666.0,,
2,7:18,5v4,CHI,11.0,w,88.0,19.0,88.0,orrl,ol,ol,y,y,,r,nz,,,0,0,20116,10/27/2022,CHI,EDM,8471742,8474141.0,8473604.0,8474141.0
2,5:44,5v5,CHI,5.0,w,88.0,19.0,13.0,or,oc,nr,,,,r,nz,,,0,0,20116,10/27/2022,CHI,EDM,8468927,8474141.0,8473604.0,8470666.0
2,5:31,5v5,CHI,24.0,w,43.0,24.0,5.0,orrl,nl,nl,y,y,,r,nz,2 on 1,,0,0,20116,10/27/2022,CHI,EDM,8476805,8477300.0,8476805.0,8468927.0
2,4:18,5v5,EDM,25.0,w,22.0,29.0,,or,opr,,,,,c,oz,,,0,0,20116,10/27/2022,CHI,EDM,8476495,8474048.0,8476886.0,
2,4:09,5v5,EDM,25.0,w,56.0,,,opl,,,,y,y,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8476495,8474719.0,,
2,3:38,5v4,CHI,11.0,w,88.0,,,orrr,,,y,y,,,,,,0,0,20116,10/27/2022,CHI,EDM,8471742,8474141.0,,
2,3:14,5v4,CHI,13.0,w,11.0,88.0,13.0,opl,orrr,ol,y,y,y,,,,y,0,0,20116,10/27/2022,CHI,EDM,8470666,8471742.0,8474141.0,8470666.0
2,2:21,4v5,EDM,18.0,w,,,,,,,y,y,,,,,,1,0,20116,10/27/2022,CHI,EDM,8475786,,,
2,2:11,5v4,CHI,89.0,w,88.0,89.0,17.0,oc,oc,dl,y,y,,r,dz,,,1,0,20116,10/27/2022,CHI,EDM,8476960,8474141.0,8476960.0,8480153.0
2,2:05,5v4,CHI,58.0,r,,,,,,,y,y,,r,dz,,,1,0,20116,10/27/2022,CHI,EDM,8480025,,,
2,1:06,4v5,CHI,43.0,w,,,,,,,y,y,,,,,,1,0,20116,10/27/2022,CHI,EDM,8477300,,,
3,19:36,5v4,EDM,93.0,o,29.0,22.0,,orrr,oc,,y,y,,,,,y,1,0,20116,10/27/2022,CHI,EDM,8476454,8476886.0,8474048.0,
3,19:05,5v5,EDM,71.0,w,,,,,,,,,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8480802,,,
3,18:17,5v5,EDM,22.0,o,97.0,5.0,97.0,opr,or,opr,,,,c,oz,,,0,0,20116,10/27/2022,CHI,EDM,8474048,8478402.0,8471816.0,8478402.0
3,18:04,5v5,EDM,56.0,w,29.0,22.0,,oc,or,,y,y,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8474719,8476886.0,8474048.0,
3,17:54,5v5,CHI,19.0,w,11.0,16.0,25.0,oc,ol,dl,y,y,,r,dz,,,0,0,20116,10/27/2022,CHI,EDM,8473604,8471742.0,8479514.0,8477836.0
3,16:54,4v5,EDM,10.0,w,,,,,,,,,,,,,,0,0,20116,10/27/2022,CHI,EDM,8481638,,,
3,15:38,4v5,CHI,17.0,o,89.0,,,ol,,,,,,,,,,0,0,20116,10/27/2022,CHI,EDM,8480153,8476960.0,,
3,14:41,4v5,CHI,24.0,w,,,,,,,,,,,,,,0,0,20116,10/27/2022,CHI,EDM,8476805,,,
3,14:06,5v4,EDM,29.0,o,97.0,22.0,97.0,orrl,oc,ol,y,y,,,,,,0,0,20116,10/27/2022,CHI,EDM,8476886,8478402.0,8474048.0,8478402.0
3,13:11,5v5,EDM,27.0,O,91.0,13.0,91.0,opl,ol,ol,,,,,,,,0,0,20116,10/27/2022,CHI,EDM,8476850,8481813.0,8473911.0,8481813.0
3,13:08,5v5,EDM,2.0,w,,,,,,,,,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8477384,,,
3,12:13,5v5,EDM,2.0,w,,,,,,,,,,r,nz,,,0,0,20116,10/27/2022,CHI,EDM,8477384,,,
3,11:26,5v5,EDM,55.0,w,56.0,,,oc,,,y,y,,f,oz,,,0,0,20116,10/27/2022,CHI,EDM,8474218,8474719.0,,
3,11:06,5v4,EDM,93.0,w,2.0,,,oc,,,,y,y,,,,,0,0,20116,10/27/2022,CHI,EDM,8476454,8477384.0,,
3,10:35,5v4,EDM,2.0,w,29.0,2.0,,opr,oc,,,y,,,,,,0,0,20116,10/27/2022,CHI,EDM,8477384,8476886.0,8477384.0,
3,9:56,5v4,EDM,2.0,o,97.0,2.0,93.0,opr,oc,opl,,,,,,,,0,0,20116,10/27/2022,CHI,EDM,8477384,8478402.0,8477384.0,8476454.0
3,9:44,5v4,EDM,97.0,w,2.0,,,ol,,,y,y,,,,1 on 0,y,0,0,20116,10/27/2022,CHI,EDM,8478402,8477384.0,,
3,9:23,5v5,EDM,25.0,W,71.0,,,opr,,,,,,f,oz,,,-1,0,20116,10/27/2022,CHI,EDM,8476495,8480802.0,,
3,7:59,5v4,EDM,93.0,o,29.0,97.0,,orrc,or,,y,,,f,,,,-1,0,20116,10/27/2022,CHI,EDM,8476454,8476886.0,8478402.0,
3,6:59,5v4,EDM,13.0,w,29.0,,,oc,,,y,y,,,,,,-1,0,20116,10/27/2022,CHI,EDM,8473911,8476886.0,,
3,4:41,5v5,CHI,4.0,s,19.0,,,ofp,,,,y,,,,,,-1,0,20116,10/27/2022,CHI,EDM,8477495,8473604.0,,
3,4:36,5v5,CHI,4.0,w,23.0,,,oelpc,,,,y,,f,oz,,,-1,0,20116,10/27/2022,CHI,EDM,8477495,8480798.0,,
3,4:19,5v5,EDM,91.0,w,56.0,,,ol,,,,y,,f,oz,,,-1,0,20116,10/27/2022,CHI,EDM,8481813,8474719.0,,
3,3:21,5v5,CHI,88.0,w,6.0,32.0,,dc,dl,,,y,,r,dz,,,-1,0,20116,10/27/2022,CHI,EDM,8474141,8458637.0,8465058.0,
3,3:13,5v5,CHI,6.0,w,82.0,13.0,,or,opr,,Y,y,,c,oz,,,-1,0,20116,10/27/2022,CHI,EDM,8458637,8478452.0,8470666.0,
3,3:11,5v5,CHI,88.0,r,,,,,,,y,y,,c,oz,,y,-1,0,20116,10/27/2022,CHI,EDM,8474141,,,
3,2:19,5v5,CHI,19.0,w,11.0,4.0,,oc,dsr,,,y,,r,dz,,,0,0,20116,10/27/2022,CHI,EDM,8473604,8471742.0,8477495.0,
3,0:38,5v5,EDM,29.0,o,91.0,56.0,,orrl,oc,,y,y,,f,oz,3 on 2,y,0,0,20116,10/27/2022,CHI,EDM,8476886,8481813.0,8474719.0,
1,19:14,5v5,BUF,78.0,W,10.0,,,ol,,,,y,,c,oz,,,0,74,21006,3/6/2023,BUF,EDM,8480196,8473534.0,,
1,19:20,5v5,BUF,53.0,s,,,,,,,,y,,c,oz,,,0,74,21006,3/6/2023,BUF,EDM,8475784,,,
1,18:29,5v5,BUF,29.0,s,,,,,,,,y,,f,oz,,,0,74,21006,3/6/2023,BUF,EDM,8469506,,,
1,18:21,5v5,EDM,2.0,w,93.0,29.0,2.0,ol,nl,dl,y,y,,r,dz,,,0,41,21006,3/6/2023,BUF,EDM,8477384,8476454.0,8476886.0,8477384.0
1,18:14,5v5,EDM,14.0,w,2.0,71.0,,or,ofp,,,y,,,,,,0,41,21006,3/6/2023,BUF,EDM,8475218,8477384.0,8480802.0,
1,17:05,5v5,BUF,10.0,W,19.0,77.0,25.0,ol,nl,dl,,y,,r,dz,,,0,74,21006,3/6/2023,BUF,EDM,8473534,8481522.0,8482175.0,8482671.0
1,16:49,5v5,BUF,10.0,w,77.0,,,oelpr,,,,,,f,oz,,,0,74,21006,3/6/2023,BUF,EDM,8473534,8482175.0,,
